mood,mood_value,sentiment_score,sleep_hours,stress_score,stress_level
Anxious,0.85,-0.26707109129149575,6.1,0.5555555555555556,1
Sad,0.7,0.31634685286178066,6.2,0.7777777777777778,2
Neutral,0.5,0.25695649388856656,6.2,0.7777777777777778,2
Stressed,0.9,-1.0,5.9,0.7777777777777778,2
Stressed,0.9,-0.8716596510786287,5.9,0.7777777777777778,2
Stressed,0.9,-1.0,5.9,0.7777777777777778,2
Stressed,0.9,-0.9558645544213967,6.3,0.6666666666666666,1
Neutral,0.5,0.3936313140680225,7.8,0.5555555555555556,1
Neutral,0.5,0.1846418107816097,7.8,0.5555555555555556,1
Neutral,0.5,0.14579137533228942,7.8,0.5555555555555556,1
Sad,0.7,0.008360714130629165,6.1,0.7777777777777778,2
Neutral,0.5,0.31285911829894886,7.8,0.5555555555555556,1
Sad,0.7,0.1065644953973681,6.1,0.7777777777777778,2
Sad,0.7,0.1982254350935755,6.0,0.7777777777777778,2
Sad,0.7,0.12561379283755916,6.0,0.7777777777777778,2
Sad,0.7,-0.1156535566309371,6.0,0.7777777777777778,2
Stressed,0.9,-0.728641545537345,6.5,0.6666666666666666,1
Anxious,0.85,-0.3662512101239781,6.0,0.7777777777777778,2
Stressed,0.9,-0.5407993919198184,6.5,0.6666666666666666,1
Neutral,0.5,0.34692345552509557,7.6,0.5555555555555556,1
Neutral,0.5,0.35553396768074774,7.7,0.5555555555555556,1
Neutral,0.5,0.2707516176790462,7.7,0.5555555555555556,1
Neutral,0.5,0.4727806205906576,7.7,0.5555555555555556,1
Neutral,0.5,0.3201412180303682,7.7,0.5555555555555556,1
Neutral,0.5,0.3223056173417357,7.8,0.5555555555555556,1
Neutral,0.5,0.22962212159801804,7.9,0.5555555555555556,1
Neutral,0.5,0.3423824884044181,7.8,0.5555555555555556,1
Neutral,0.5,0.3591442795483498,7.9,0.5555555555555556,1
Neutral,0.5,0.4128275536277396,7.9,0.5555555555555556,1
Neutral,0.5,0.3171330531293318,7.9,0.5555555555555556,1
Anxious,0.85,-0.3578637003606829,6.4,0.6666666666666666,1
Stressed,0.9,-0.6246691935528883,6.4,0.6666666666666666,1
Neutral,0.5,0.30222831939913775,7.9,0.3333333333333333,1
Sad,0.7,-0.06540696156457089,6.1,0.7777777777777778,2
Neutral,0.5,0.2040001907883742,7.7,0.5555555555555556,1
Sad,0.7,-0.08006666949497615,6.1,0.7777777777777778,2
Sad,0.7,-0.19435729507448224,6.1,0.7777777777777778,2
Neutral,0.5,0.06026485892180031,7.6,0.5555555555555556,1
Neutral,0.5,0.19394701419895366,7.6,0.5555555555555556,1
Neutral,0.5,0.42616880167086213,7.6,0.5555555555555556,1
Neutral,0.5,0.3508362750523363,7.7,0.5555555555555556,1
Neutral,0.5,0.3734422146864308,7.7,0.5555555555555556,1
Neutral,0.5,0.3480632898204348,7.7,0.5555555555555556,1
Neutral,0.5,0.4389544630934199,7.8,0.5555555555555556,1
Neutral,0.5,0.3179704966198341,7.7,0.5555555555555556,1
Neutral,0.5,0.4399486255705398,7.8,0.5555555555555556,1
Neutral,0.5,0.39125110157725096,7.7,0.5555555555555556,1
Neutral,0.5,0.26506245266244455,7.8,0.5555555555555556,1
Neutral,0.5,0.3209277235365197,7.7,0.5555555555555556,1
Sad,0.7,-0.15886992877942302,7.7,0.5555555555555556,1
Neutral,0.5,0.22680106581872872,7.5,0.2222222222222222,0
Neutral,0.5,0.2965839452433511,7.5,0.2222222222222222,0
Sad,0.7,-0.11895233070483177,6.0,0.7777777777777778,2
Neutral,0.5,0.42625455585136157,7.6,0.5555555555555556,1
Sad,0.7,-0.2148710002402534,6.0,0.7777777777777778,2
Sad,0.7,-0.08635069706534042,6.0,0.7777777777777778,2
Neutral,0.5,0.20891177143592943,7.7,0.5555555555555556,1
Sad,0.7,0.0909044053091412,6.0,0.7777777777777778,2
Sad,0.7,-0.1464200879771441,6.0,0.7777777777777778,2
Neutral,0.5,0.245156468966183,7.7,0.5555555555555556,1
Anxious,0.85,-0.12703248907045223,6.0,0.7777777777777778,2
Sad,0.7,-0.14185752609022703,6.0,0.7777777777777778,2
Sad,0.7,-0.09635844052815051,6.2,0.7777777777777778,2
Sad,0.7,-0.10534907306109952,6.2,0.7777777777777778,2
Sad,0.7,-0.062111202418242584,6.2,0.7777777777777778,2
Sad,0.7,0.031032347404920807,6.2,0.7777777777777778,2
Neutral,0.5,0.230295780278546,7.2,0.5555555555555556,1
Anxious,0.85,-0.4373618498972334,6.0,0.7777777777777778,2
Sad,0.7,-0.1487970700740089,6.2,0.5555555555555556,1
Anxious,0.85,-0.1560403024371646,6.2,0.5555555555555556,1
Sad,0.7,-0.1961444646028507,6.1,0.7777777777777778,2
Sad,0.7,-0.2754782691346036,6.1,0.7777777777777778,2
Sad,0.7,-0.054845056221036775,6.1,0.7777777777777778,2
Sad,0.7,-0.05341286091014582,6.1,0.7777777777777778,2
Sad,0.7,0.033894787785168884,6.0,0.7777777777777778,2
Sad,0.7,0.019242330713352577,6.0,0.7777777777777778,2
Sad,0.7,-0.11133788078985689,6.0,0.7777777777777778,2
Sad,0.7,-0.02608141985682577,6.0,0.7777777777777778,2
Sad,0.7,0.13946156966082432,6.0,0.7777777777777778,2
Sad,0.7,0.07474405248001462,6.0,0.7777777777777778,2
Stressed,0.9,-0.840351934629229,5.8,0.7777777777777778,2
Stressed,0.9,-0.9225832722644104,5.8,0.7777777777777778,2
Sad,0.7,-0.09494509512789479,6.7,0.4444444444444444,1
Sad,0.7,-0.2501919141412541,6.7,0.4444444444444444,1
Neutral,0.5,0.26320068038455946,7.5,0.4444444444444444,1
Neutral,0.5,0.3485554372932049,7.2,0.3333333333333333,1
Neutral,0.5,0.24922713636705313,7.2,0.3333333333333333,1
Neutral,0.5,0.19599669168892928,7.2,0.3333333333333333,1
Neutral,0.5,0.1729609999144219,7.3,0.3333333333333333,1
Neutral,0.5,0.13155048586975884,7.3,0.3333333333333333,1
Neutral,0.5,0.22550674634532092,7.3,0.3333333333333333,1
Neutral,0.5,0.21709380511076629,7.3,0.3333333333333333,1
Neutral,0.5,0.2749030303267889,7.5,0.4444444444444444,1
Stressed,0.9,-0.6993434083225949,7.4,0.4444444444444444,1
Sad,0.7,-0.09484061845739183,7.2,0.3333333333333333,1
Neutral,0.5,0.1189303795654896,7.1,0.3333333333333333,1
Neutral,0.5,0.2336673738743911,7.2,0.3333333333333333,1
Neutral,0.5,0.1993206615505223,7.1,0.3333333333333333,1
Neutral,0.5,0.32089949776133414,7.1,0.3333333333333333,1
Neutral,0.5,0.2540543941910924,7.1,0.3333333333333333,1
Neutral,0.5,0.330947351701547,7.2,0.3333333333333333,1
Neutral,0.5,0.3884642517788307,7.2,0.3333333333333333,1
Neutral,0.5,0.3682736716005013,7.2,0.3333333333333333,1
Stressed,0.9,-0.7808538126140253,6.6,0.6666666666666666,1
Sad,0.7,-0.12251562274514188,7.2,0.3333333333333333,1
